"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
status_04_01,discharge_status,,radio,status,"1, discharge home | 2, transfer to another hospital | 3, transfer to chronic care facility | 4, transfer | 5, died | 6, remain in hospital at 6 months | 7, consent withdrawn no additional data",status,,,,,,,,,,,
status_date_04_01,discharge_status,,text,status_date,,,,,,,,,,,,,
discharge_date_04_01,discharge_status,,text,discharge_date,,,,,,,,,,,,,
discharge_weight_g_04_01,discharge_status,,text,discharge_weight_g,,,,,,,,,,,,,
discharge_length_cm_04_01,discharge_status,,text,discharge_length_cm,,,,,,,,,,,,,
discharge_head_circumference_cm_04_01,discharge_status,,text,discharge_head_circumference_cm,,,,,,,,,,,,,
transfer_reason_04_01,discharge_status,,radio,transfer_reason,"1, lack of beds | 2, family convenience | 3, specialized care | 4, chronic or hospice care",transferReason,,,,,,,,,,,
transfer_date_04_01,discharge_status,,text,transfer_date,,,,,,,,,,,,,
transfer_weight_g_04_01,discharge_status,,text,transfer_weight_g,,,,,,,,,,,,,
transfer_length_cm_04_01,discharge_status,,text,transfer_length_cm,,,,,,,,,,,,,
transfer_head_circumference_cm_04_01,discharge_status,,text,transfer_head_circumference_cm,,,,,,,,,,,,,
transfer_outcome_04_01,discharge_status,,radio,transfer_outcome,"1, discharge home | 2, died | 3, remain in hospital or chronic care facility at 6 months",transferOutcome,,,,,,,,,,,
death_date_04_01,discharge_status,,text,death_date,,,,,,,,,,,,,
death_time_04_01,discharge_status,,text,death_time,,,,,,,,,,,,,
death_age_day_04_01,discharge_status,,text,death_age_day,,,,,,,,,,,,,
death_autopsy_04_01,discharge_status,,yesno,death_autopsy,,,,,,,,,,,,,
death_cause_04_01,discharge_status,,radio,death_cause,"1, proven sepsis | 2, suspect sepsis | 3, asphyxial brain injury | 4, multi-organ failure | 5, MAS | 6, PPHN | 7, pneumonia | 8, CLD | 9, other | 10, congenital malformation | 11, BPD/CLD | 12, BPD with infection | 13, aspiration pneumonia | 14, CNS infection | 15, pulmonary infection | 16, trauma, accident | 17, child abuse | 18, dehydration | 19, malignancy | 20, unknown",deathCause,,,,,,,,,,,
death_cause_text_04_01,discharge_status,,text,death_cause_text,,,,,,,,,,,,,
death_src_04_01,discharge_status,,radio,death_src,"1, hospital autopsy | 2, medical examiner autopsy | 3, morbidity/mortality review | 4, death certificate",deathSrc,,,,,,,,,,,
length_of_stay_day_04_01_1,discharge_status,,text,length_of_stay_day,,,,,,,,,,,,,
